neutral	Alles klar.	negative	positive
neutral	Bereit.
neutral	Dann erzähl mal.
positive	Gerne.
positive	Gerne. Ja.
positive	Ja.
positive	Ja bitte.
positive	Ja, erzähl mal was.
positive	Ja gerne.
positive	Ja ja doch.
positive	Ja ja, hab ich.
positive	Ja klar.
neutral	Na gut.
positive	Na klar.
positive	Natürlich.
neutral	Noch mehr.
neutral	Okay.
positive	Okay, dann kommen wir mal wieder.
positive	Sehr gern.
neutral	Der erste Computer auf der Welt war Z1.
neutral	Dient zum Rechnen, Schreiben?
neutral	Eine Schreibmaschine ist eine Maschine mit der man schreiben kann.
neutral	Ähm was sind das für Geräte?
neutral	Darf ich die mal anfassen?
neutral	Echt. Wie viel wiegst denn du?
neutral	Erklär mir mal bitte die Sortiermaschine.
neutral	Frag mal, warum der Bildschirm rund ist.
neutral	Führst du uns bitte zum Analogrechner?
neutral	Funktioniert der mit Farbe oder Schwarz-Weiß?
neutral	Ist der aus?
neutral	Kann man da schon krasse Spiele drauf spielen?
neutral	Kannst du auch fahren oder laufen?
neutral	Kannst du die Geräte anzeigen?
neutral	Kannst du etwas mehr darüber sagen?
neutral	Kannst du mir etwas bieten?
neutral	Kannst du uns bitte einen ganz ganz großen Computer zeigen?
neutral	Kannst du uns das auch erklären?
neutral	Kannst du uns den ältesten Computer der Welt zeigen?
neutral	Kannst du uns mal zum Analogrechner führen?
neutral	Keine Ahnung, was kann ich dich denn noch fragen?
neutral	Macht der das selber?
negative	Mmh tja. Und was kann man damit sonst noch so machen?
neutral	Na was denn dann?
neutral	Ok. Was kannst du uns noch mehr über Rechner sagen?
neutral	Tesaro, zeigst du mir jetzt den ältesten Computer der Welt?
neutral	Tesaro zeigst du uns mal bitte den ältesten Computer den es hier gibt?
neutral	Tesaro zeigst du uns mal bitte eine Schreibmaschine?
neutral	Und wie alt bist du?
neutral	Und wozu hat man dann so ein Riesending gebaut?
neutral	Was?
neutral	Was das alles kann?
neutral	Was gibt es denn zum Anschauen?
neutral	Was gibts denn?
neutral	Was hat man denn damit gemacht? Das wär jetzt mal interessant.
neutral	Was hatten wir da am Anfang?
neutral	Was hatten wir noch nicht?
neutral	Was ist das?
neutral	Was kannst du mir denn sonst noch so erzählen?
neutral	Was konnte denn das Ding alles?
neutral	Was konnte man darauf zocken?
neutral	Was weißt du alles?
neutral	Weiß ich nicht so richtig. Was kannst du mir empfehlen?
neutral	Welche Programmiersprache war das?
neutral	Wer hat sich das denn alles ausgedacht?
neutral	Wie alt bist du?
neutral	Wie funktioniert diese Maschine?
neutral	Wie heißt das Ding?
neutral	Wie lange dauert denn das Programmieren damit?
neutral	Wie viel Speicher hat er denn gehabt?
neutral	Wurden sehr viele davon produziert?
neutral	Aber ich.
neutral	Aha.
positive	Das stimmt.
neutral	Folge mir.
neutral	Jetzt gehts weiter.
neutral	Jo.
neutral	Weiß ich nicht.
neutral	Weißt du Bescheid.
neutral	Wir sind angekommen.
negative	Das ist aber ein bisschen spärlich.
negative	Das ist aber schade.
negative	Das ist aber unhöflich. Ich hätte dich sogar eingeladen.
negative	Das ist schade. Ich dachte wir gehen jetzt ein Bier zusammen trinken.
negative	Das könnte ich mir eigentlich auch da vorne angucken.
negative	Das müsstest du aber eigentlich wissen. Das weiß ich.
negative	Der braucht aber lange um anzukommen.
negative	Der ignoriert uns einfach.
negative	Jetzt auch noch angepisst sein. Na toll.
negative	Och nö. Irgendwie. Nö gerade nicht.
negative	Oh schade.
negative	Schade.
negative	Schon dabei. Jetzt drängel doch nicht so.
negative	Wir wollen was anders sehen.
positive	Der ist doch nicht gruselig.
positive	Du auch. Danke.
positive	Ganz gut.
positive	Gut.
positive	Gut reicht jetzt.
positive	Ich finde den übelst witzig.
positive	Ich hab dich lieb Tesaro.
positive	Ist ja mal cool.
neutral	Ja das ist sie.
neutral	Na dann mal weiter.
positive	Ok. Ich bin fertig.
positive	sehr interessant.
positive	Achso.
negative	Arschloch.
negative	Das stinkt hast du geforzt?
negative	Der hat gar keine Haare.
neutral	Der lenkt um.
negtive	Ein Totenkopf.
neutral	Emilio.
positive	Er kann laufen.
positive	Fährt der jetzt da raus?
negative	Geh mal weg, damit er vorbei kann.
neutral	Glaub ich nicht. Ich glaub der fährt so vorwärts.
neagtive	Hä, wo will er denn hin?
neutral	Mama kommst du mit?
negative	Mist.
negative	Mmh.
neutral	Na dann.
negative	Oh Mist schon wieder.
neutral	Oh was.
neutral	Sieht aus wie ein Staubsauger.
neutral	Uh.
neutral	Wieso hinterher? Der fährt doch rückwärts.
positive	Witzig das Ding.
negative	Oh aus dem Weg.
neutral	Bis zum nächsten Mal. Tschau.
neutral	Tschüss.
neutral	Tschüss Tesaro.
neutral	Hallo.
positive	Hallo lieber Roboter.
neutral	Hallo Tesaro.
neutral	Hallo Tesaro, hörst du mich?
neutral	Hier sind wir.
neutral	Das reicht.
negative	Nein.
positive	Nein, danke.
negative	Nein hat er nicht.
negative	ein, ich habe keine Fragen.
negative	Nö.
neutral	Analogrechner.
neutral	Dann nehmen wir mal den Monitor.
neutral	Dann vielleicht etwas über Analogrechner.
neutral	Den Heimcomputer.
neutral	Den riesigen Monitor wuerde ich gerne mal sehen.
neutral	Die goldene Maschine.
neutral	Ein digitales System für technische Zeichnungen.
neutral	Erklärst du uns mal was?
positive	Erzähl mal was.
neutral	Hab ich doch gesagt. Das Cafe.
positive	Ich will mehr darüber wissen.
neutral	Irgendwas erzählen.
positive	Ja doch, erzähl mal.
positive	Ja erzähl mal.
positive	Ja erzähl mal noch ein bisschen.
positive	Ja erzähl mal noch ein bisschen mehr.
neutral	Jetzt will ich aber auch einen riesigen Monitor sehen.
neutral	Kühlschränke.
neutral	Mechanische Rechenmaschinen.
neutral	Monitor.
neutral	Na dann zum Analogrechner.
neutral	Na immer mehr.
neutral	Na was.
neutral	Na was anderes.
neutral	Och öh das Cafe.
neutral	Och, weißt du noch irgendwas darüber?
neutral	Rechenmaschine.
neutral	Sag mal hallo.
neutral	Schreibmaschinen.
neutral	Wir gehen zu diesem Riesenmonitor.
neutral	Zeig mal wo die steht.
negative	Alter hab ich Recht?
negative	Anstrengend heh?
negative	Bin ich böse?
negative	Bin ich ein Einbrecher?
neutral	Bin ich lieb?
neutral	Bist du krank?
neutral	Bist du reich?
positive	Dann sag es mir mal bitte.
neutral	Darf ich jetzt auch mal?
neutral	Folgst du mir bitte Tesaro?
neutral	Gehen wir noch zusammen einen trinken?
neutral	Geht es dir gut?
